elementType,editType,scriptLength,specialCharRatio,GSB,jsEval,class
58,0,-1,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
58,0,-1,-1,0,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,677,0.324853228962818,-1,-1,malicious
58,0,-1,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,0,-1,malicious
0,0,-1,-1,-1,-1,malicious
58,0,-1,-1,0,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
38,1,-1,-1,-1,-1,malicious
58,0,-1,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
103,0,0,-1,0,-1,malicious
58,0,-1,-1,0,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
103,0,0,-1,1,-1,malicious
119,1,-1,0.0,-1,-1,malicious
119,1,-1,0.0,-1,-1,malicious
119,1,-1,0.0,-1,-1,malicious
119,1,-1,0.0,-1,-1,malicious
119,1,-1,0.0,-1,-1,malicious
119,1,-1,0.0,-1,-1,malicious
119,1,-1,0.0,-1,-1,malicious
119,1,-1,0.0,-1,-1,malicious
103,0,3130,0.6928069226608978,-1,-1,malicious
58,0,-1,-1,0,-1,malicious
58,0,-1,-1,0,-1,malicious
58,0,-1,-1,0,-1,malicious
103,0,1071,0.3873056994818653,-1,-1,malicious
103,0,1071,0.3873056994818653,-1,-1,malicious
103,0,1071,0.3873056994818653,-1,-1,malicious
103,0,1070,0.38780804150453957,-1,-1,malicious
103,0,5515,0.503134369037885,-1,1,malicious
103,0,6146,0.4184168012924071,-1,1,malicious
103,0,5532,0.5008138903960934,-1,1,malicious
